label,text,Arabic,NewEnglish
advertising,asks sec to mull halfyear corporate filings vs quarterlyus president donald trump said on friday he had asked the us securities and exchange commission to study the impact of allowing companies to file reports with the financial regulator every six months instead of every quartersource,يسأل ثانية للنظر في طلبات الشركات نصف السنة مقابل رئيس فصلية الربع دونالد ترامب قال يوم الجمعة انه طلب منا لجنة الأوراق المالية والبورصة لدراسة تأثير السماح للشركات لتقديم تقارير مع المنظم المالي كل ستة أشهر بدلا من كل ربع مصدر,"Asked again to look at half-year corporate requests against quarterly head of the Donald Trump, he said on Friday that he asked us to examine the impact of allowing companies to report with the regulator every six months rather than every quarter of the source"
advertising,st up on trade hopes sp equals longest bull runthe benchmark sp edged closer to a record high on tuesday matching its longestever bullmarket run as us stocks rose after some encouraging earnings reports and on hopes that the united states and china could resolve their tariff disputesource,التباطؤ في الآمال التجارية: sp تساوي أطول فترة صعود. ارتفع المؤشر القياسي بالقرب من أعلى مستوى قياسي له يوم الثلاثاء وهو يتطابق مع أطول سوق للثور في السوق حيث ارتفعت الأسهم الأمريكية بعد بعض تقارير الأرباح المشجعة والآمال في أن الولايات المتحدة والصين يمكنهما حل نزاعاتهما بشأن التعريفة الجمركية.,"Deceleration in business hopes: sp equals the longest rise. The benchmark rose near its record high on Tuesday, matching the longest bull market on the market as US stocks rose after some encouraging earnings reports and hopes that the United States and China could resolve their tariff disputes."
advertising,shares hit oneyear low on turkey china worriesasian shares hit fresh oneyear lows in early trading on thursday while oil and precious metal prices also tumbled as turkeys currency crisis and fears of an economic slowdown in china fanned worries about global growthsource,الأسهم الصينية تتراجع إلى أدنى مستوياتها مع القلق بشأن المخاوف بشأن النمو العالمي في الصين,Chinese stocks fall to their lowest levels with concern over concerns about global growth in China
advertising,stocks weaken as turkey worries weigh dollar stands tallasian stocks sagged on wednesday failing to track wall streets gains and with the dollar near a month high as concerns about turkeys financial crisis weighed on investor appetite despite the liras move away from an alltime lowsource,الأسهم الأسيوية تضعف مع قلق تركيا من ارتفاع الدولار تراجعت الأسهم الطويلة في يوم الأربعاء بعد فشلها في تتبع مكاسبها في وول ستريت ومع ارتفاع الدولار إلى أعلى مستوى خلال شهر ، حيث أثقلت المخاوف بشأن أزمة تركيا المالية على شهية المستثمرين على الرغم من الابتعاد عن ليرة المستثمر,Asian stocks weaken as Turkey worries about dollar rise Long-term stocks fell on Wednesday after failing to track gains on Wall Street and as the dollar rose to a one-month high as fears about Turkey's financial crisis weighed on investors' appetite despite staying away from investor lira
advertising,asian shares edge up after wall st gains but china downasian stocks eked out gains on wednesday with sentiment boosted by wall streets rise and a record intraday high for the sp index on tuesday but fragile chinese markets retreated after two days in the blacksource,الأسهم الأسيوية ترتفع بعد المكاسب التي حققتها وول ستريت ، لكن الأسهم الصينية المتخلفة عن الارتفاع حققت مكاسب يوم الأربعاء ، حيث تعززت المعنويات بارتفاع أسعار وول ستريت ، وسجلت رقماً قياسياً خلال اليوم لمؤشر sp يوم الثلاثاء ، لكن الأسواق الصينية الهشة تراجعت بعد يومين في السوق السوداء,"Asian stocks rise after Wall Street gains, but Chinese stocks lagged higher on Wednesday as sentiment on Wall Street rallied and hit a record on Tuesday for the sp index on Tuesday, but China's fragile markets fell after two days on the black market"
advertising,bid for tesla no formal offer no firm deals with adviserstesla incs board named a special committee of three directors on tuesday to decide what to do about chief executive elon musks potential offer to take the electric carmaker private although musk has yet to make a formal offer and is still negotiating to hire advisers needed to do a dealsource,طلب عرض تسلا أي عرض رسمي ، لا توجد صفقات قوية مع مستشار مجلس إدارة شركة تسلا عين لجنة خاصة من ثلاثة مديرين يوم الثلاثاء لتقرير ما يجب القيام به بشأن الرئيس التنفيذي لشركة إيلون المسك عرض محتمل لاتخاذ شركة صناعة السيارات الكهربائية الخاصة على الرغم من أن المسك لم تقدم بعد عرض رسمي و لا تزال تتفاوض لتوظيف المستشارين اللازمين للقيام بصفقة الصفقات,"Tesla offer no formal offer, no strong deals with Tesla Board of Directors appointed a special committee of three directors on Tuesday to decide what to do about Elon's CEO Masque offered a possible take for the private electric car maker although the musk did not After a formal offer, it is still negotiating to hire the necessary advisors to conduct the deal"
advertising,st rallies on solid earnings uschina trade talksus stocks rebounded on thursday with the dow posting its biggest percentage gain in over four months as positive earnings and waning trade jitters buoyed investor confidencesource,ارتفاعات قوية على الأرباح القوية انتعشت أسهم محادثات التجارة في الصين يوم الخميس مع تسجيل مؤشر داو جونز أكبر مكاسب لها في أكثر من أربعة أشهر حيث عززت الأرباح الإيجابية وتراجع المخاوف التجارية ثقة المستثمرين.,Strong gains on strong earnings China's trade talks rebounded on Thursday as the Dow Jones index posted its biggest gain in more than four months as positive profit and a decline in trade concerns boosted investor confidence.
advertising,says no opec member can take over its share of oil exportsiran told opec on sunday no member country should be allowed to take over another members share of oil exports expressing tehrans concern about saudi arabias offer to pump more oil in the face of us sanctions on iranian oil salessource,يقول لا يمكن لأي عضو في أوبك تولي حصتها من صادرات النفط. أخبرت إيران أوبك يوم الأحد أنه لا ينبغي السماح لأي دولة عضو بتولي حصة أخرى من صادرات النفط معربا عن قلق طهران من عرض السعودية على ضخ المزيد من النفط في مواجهة عقوبات على إيران مصدر النفط,"Says no OPEC member can take over its share of oil exports. TEHRAN (Reuters) - Iran told OPEC on Sunday no member country should be allowed to take on another share of oil exports, expressing Tehran's concern over Saudi Arabia's offer to pump more oil in the face of sanctions against Iran, the oil exporter."
advertising,courses in data science that could help you snag a new job posted onmove over software developers the sexist job title award now goes to data scientists see also take this online class and learn how to make instamoney you might be thinking theres absolutely nothing sexy about dissecting monstrous hordes of data sets in the hopes of finding trends and patterns that can inform new products features or services or is there companies large and small are now playing a game of tug of war on qualified data science pros and with the proper training and tools you,دورات في علم البيانات يمكن أن تساعدك في الحصول على وظيفة جديدة منشورة على مطوري البرامج ، وتنتقل جائزة لقب الوظيفة الجنسية الآن إلى علماء البيانات ، انظر أيضًا في هذا الفصل عبر الإنترنت وتعلم كيفية جعل Instamoney قد لا تفكر في شيء مثير للجدل حول تشريح الوحوش جحافل من مجموعات البيانات على أمل العثور على اتجاهات وأنماط يمكن أن تميز ميزات أو خدمات المنتجات الجديدة أو أن هناك شركات كبيرة وصغيرة تلعب الآن لعبة شد الحبل على إيجابيات علم البيانات المؤهلين وبتدريب وأدوات مناسبة لك,"Courses in data science can help you get a new job published on software developers, and now pass the title of sexual function to data scientists, also see this chapter online and learn how to make Instamoney may not think of something controversial about the dissection of monsters hordes of Data sets are hoping to find trends and patterns that can distinguish the features or services of new products or that there are large and small companies now playing tug-of-war on the pros and cons of qualified data and training tools suitable for you"
advertising,ceo was told about emissions software months before scandal der spiegel volkswagen chief executive herbert diess was told about the existence of cheating software in cars two months before regulators blew the whistle on a multibillion exhaust emissions scandal german magazine der spiegel saidsource,قيل لشركة سيو عن برامج الانبعاثات قبل أشهر من إبلاغ فضيحة دير شبيجل فولكس واجن الرئيس التنفيذي هربرت ديس عن وجود برنامج الغش في السيارات قبل شهرين من قيام المنظمين بتفجير صافرة بشأن فضيحة انبعاثات العادم التي تكلف عدة مليارات من المجلات الألمانية.,Seo was told about emissions programs months before the Volkswagen Der Spiegel scandal told chief executive Herbert Des about the existence of a fraud program in cars two months before regulators blew up a whistle over the multi-billion-dollar exhaustion scandal in German magazines.
advertising,retail sales rise solidly productivity acceleratesus retail sales rose more than expected in july as households boosted purchases of motor vehicles and clothing suggesting the economy remained strong early in the third quartersource,مبيعات التجزئة ترتفع بقوة تسارع الإنتاجية ارتفعت مبيعات التجزئة بأكثر من المتوقع في يوليو حيث عززت الأسر مشتريات السيارات والملابس مما يشير إلى أن الاقتصاد بقي قويًا في بداية الربع الثالث,"Retail Sales Rise Strongly in Productivity Retail sales rose more-than-expected in July as households boosted car and clothing purchases, signaling that the economy remained strong at the start of the third quarter"
advertising,hires cfo after lengthy search paving way for ipouber technologies inc uberul has hired a chief financial officer the rideservices company said on tuesday filling a longstanding vacancy and clearing the way for a muchanticipated initial public offering next yearsource,توظف المدير المالي بعد بحث مطوّل عن طريق البحث عن تقنيات ipouber inc. أوبيرول ، عيّنت مديرًا ماليًا كبيرًا في شركة rideservices قالت يوم الثلاثاء وهي تملأ منصبًا شاغرًا منذ فترة طويلة وتمهد الطريق أمام طرح عام مبدئي عام أولي.,"The CFO is hired after a lengthy search by searching for ipouber inc. O'Brien, has been appointed chief financial officer at rideservices, which said on Tuesday that it was filling a vacant position for a long time and paving the way for an initial public offering."
